Time_ps,Density_g_per_cm3
5.000000014907028624e-04,2.030126297809497604e+00
1.000000002981405725e-03,2.030126297809497604e+00
1.500000004472108479e-03,2.030126297809497604e+00
2.000000005962811449e-03,2.030126297809497604e+00
2.500000007453514420e-03,2.030126297809497604e+00
3.000000008944216957e-03,2.030126297809497604e+00
3.500000010434919928e-03,2.030126297809497604e+00
4.000000011925622899e-03,2.030126297809497604e+00
4.500000013416325870e-03,2.030126297809497604e+00
5.000000014907028840e-03,2.030126297809497604e+00
5.500000016397731811e-03,2.030126297809497604e+00
6.000000017888433915e-03,2.030126297809497604e+00
6.500000019379136885e-03,2.030126297809497604e+00
7.000000020869839856e-03,2.030126297809497604e+00
7.500000022360542827e-03,2.030126297809497604e+00
8.000000023851245798e-03,2.030126297809497604e+00
8.500000025341947901e-03,2.030126297809497604e+00
9.000000026832651739e-03,2.030126297809497604e+00
9.500000028323353843e-03,2.030126297809497604e+00
1.000000002981405768e-02,2.030126297809497604e+00
1.050000003130475978e-02,2.030126297809497604e+00
1.100000003279546362e-02,2.030126297809497604e+00
1.150000003428616573e-02,2.030126297809497604e+00
1.200000003577686783e-02,2.030126297809497604e+00
1.250000003726757167e-02,2.030126297809497604e+00
1.300000003875827377e-02,2.030126297809497604e+00
1.350000004024897761e-02,2.030126297809497604e+00
1.400000004173967971e-02,2.030126297809497604e+00
1.450000004323038355e-02,2.030126297809497604e+00
1.500000004472108565e-02,2.030126297809497604e+00
1.550000004621178949e-02,2.030126297809497604e+00
1.600000004770249160e-02,2.030126297809497604e+00
1.650000004919319543e-02,2.030126297809497604e+00
1.700000005068389580e-02,2.030126297809497604e+00
1.750000005217459964e-02,2.030126297809497604e+00
1.800000005366530348e-02,2.030126297809497604e+00
1.850000005515600732e-02,2.030126297809497604e+00
1.900000005664670769e-02,2.030126297809497604e+00
1.950000005813741152e-02,2.030126297809497604e+00
2.000000005962811536e-02,2.030126297809497604e+00
2.050000006111881573e-02,2.030126297809497604e+00
2.100000006260951957e-02,2.030126297809497604e+00
2.150000006410022341e-02,2.030126297809497604e+00
2.200000006559092725e-02,2.030126297809497604e+00
2.250000006708162761e-02,2.030126297809497604e+00
2.300000006857233145e-02,2.030126297809497604e+00
2.350000007006303529e-02,2.030126297809497604e+00
2.400000007155373566e-02,2.030126297809497604e+00
2.450000007304443950e-02,2.030126297809497604e+00
2.500000007453514334e-02,2.036711860734107482e+00
2.550000007602584717e-02,2.036711860734107482e+00
2.600000007751654754e-02,2.036711860734107482e+00
2.650000007900725138e-02,2.036711860734107482e+00
2.700000008049795522e-02,2.036711860734107482e+00
2.750000008198865906e-02,2.036711860734107482e+00
2.800000008347935943e-02,2.036711860734107482e+00
2.850000008497006326e-02,2.036711860734107482e+00
2.900000008646076710e-02,2.036711860734107482e+00
2.950000008795146747e-02,2.036711860734107482e+00
3.000000008944217131e-02,2.036711860734107482e+00
3.050000009093287515e-02,2.036711860734107482e+00
3.100000009242357898e-02,2.036711860734107482e+00
3.150000009391427935e-02,2.036711860734107482e+00
3.200000009540498319e-02,2.036711860734107482e+00
3.250000009689568703e-02,2.036711860734107482e+00
3.300000009838639087e-02,2.036711860734107482e+00
3.350000009987709471e-02,2.036711860734107482e+00
3.400000010136779161e-02,2.036711860734107482e+00
3.450000010285849544e-02,2.036711860734107482e+00
3.500000010434919928e-02,2.036711860734107482e+00
3.550000010583990312e-02,2.036711860734107482e+00
3.600000010733060696e-02,2.036711860734107482e+00
3.650000010882131080e-02,2.036711860734107482e+00
3.700000011031201463e-02,2.036711860734107482e+00
3.750000011180271153e-02,2.036711860734107482e+00
3.800000011329341537e-02,2.036711860734107482e+00
3.850000011478411921e-02,2.036711860734107482e+00
3.900000011627482305e-02,2.036711860734107482e+00
3.950000011776552689e-02,2.036711860734107482e+00
4.000000011925623072e-02,2.036711860734107482e+00
4.050000012074693456e-02,2.036711860734107482e+00
4.100000012223763146e-02,2.036711860734107482e+00
4.150000012372833530e-02,2.036711860734107482e+00
4.200000012521903914e-02,2.036711860734107482e+00
4.250000012670974298e-02,2.036711860734107482e+00
4.300000012820044681e-02,2.036711860734107482e+00
4.350000012969115065e-02,2.036711860734107482e+00
4.400000013118185449e-02,2.036711860734107482e+00
4.450000013267255139e-02,2.036711860734107482e+00
4.500000013416325523e-02,2.036711860734107482e+00
4.550000013565395907e-02,2.036711860734107482e+00
4.600000013714466290e-02,2.036711860734107482e+00
4.650000013863536674e-02,2.036711860734107482e+00
4.700000014012607058e-02,2.036711860734107482e+00
4.750000014161677442e-02,2.036711860734107482e+00
4.800000014310747132e-02,2.036711860734107482e+00
4.850000014459817516e-02,2.036711860734107482e+00
4.900000014608887899e-02,2.036711860734107482e+00
4.950000014757958283e-02,2.036711860734107482e+00
5.000000014907028667e-02,2.036711860734107482e+00
5.050000015056099051e-02,2.036711860734107482e+00
5.100000015205169435e-02,2.036711860734107482e+00
5.150000015354239818e-02,2.036711860734107482e+00
5.200000015503309508e-02,2.036711860734107482e+00
5.250000015652379892e-02,2.036711860734107482e+00
5.300000015801450276e-02,2.036711860734107482e+00
5.350000015950520660e-02,2.036711860734107482e+00
5.400000016099591044e-02,2.036711860734107482e+00
5.450000016248661427e-02,2.036711860734107482e+00
5.500000016397731811e-02,2.036711860734107482e+00
5.550000016546801501e-02,2.036711860734107482e+00
5.600000016695871885e-02,2.036711860734107482e+00
5.650000016844942269e-02,2.036711860734107482e+00
5.700000016994012653e-02,2.036711860734107482e+00
5.750000017143083036e-02,2.036711860734107482e+00
5.800000017292153420e-02,2.036711860734107482e+00
5.850000017441223804e-02,2.036711860734107482e+00
5.900000017590293494e-02,2.036711860734107482e+00
5.950000017739363878e-02,2.036711860734107482e+00
6.000000017888434262e-02,2.036711860734107482e+00
6.050000018037504645e-02,2.036711860734107482e+00
6.100000018186575029e-02,2.036711860734107482e+00
6.150000018335645413e-02,2.036711860734107482e+00
6.200000018484715797e-02,2.036711860734107482e+00
6.250000018633786181e-02,2.046038105170358001e+00
6.300000018782855871e-02,2.046038105170358001e+00
